record_id,source_pdf,source_page,topic_guess,image_index,image_xref,image_filename,image_path,image_width,image_height,image_rect,image_area,page_text,question_prompt
1,korszovet_kepek.pdf,1,STEATOHEPATOPATIA,1,142,page_001_img_01.jpg,data/imported/korszovet_kepek/images/page_001_img_01.jpg,945,681,"70.8,70.9,524.5,397.6",148236.5,"STEATOHEPATOPATIA, lyukacsos sejtek az egészségeshez képest. Lyukak: a zsír eredeti helye, xilolos kivonás stb. során távozik. Sejtmagok épek, sejtkárosodási jelenségek nincsenek. Mikrovezikuláris zsíros infiltráció, kevésbé sérül maga a szövet.","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
2,korszovet_kepek.pdf,1,STEATOHEPATOPATIA,2,144,page_001_img_02.jpg,data/imported/korszovet_kepek/images/page_001_img_02.jpg,945,506,"70.8,463.1,524.5,706.0",110179.4,"STEATOHEPATOPATIA, lyukacsos sejtek az egészségeshez képest. Lyukak: a zsír eredeti helye, xilolos kivonás stb. során távozik. Sejtmagok épek, sejtkárosodási jelenségek nincsenek. Mikrovezikuláris zsíros infiltráció, kevésbé sérül maga a szövet.","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
3,korszovet_kepek.pdf,2,STEATOHEPATOPATIA,1,147,page_002_img_01.jpg,data/imported/korszovet_kepek/images/page_002_img_01.jpg,945,505,"70.8,146.7,524.5,389.3",110043.4,"Makrovezikuláris zsíros infiltráció- nagyobb méretű, egymással összeolvadó, sejteket károsító zsírcseppek. Centrolobuláris zsíros infiltráció, a v.centralis körül többnyire. Legkevesebb tápanyaggal ezek vannak ellátva, se a v.portae tápanyagai sem az a.hepatica által odaszállított O2 ből nem részesülnek eléggé-. O2 hiányosak, tápanyaghiányosak. oil red-o festés: ki kell hagyni a formalin fixálást stb, fagyasztásos technika kell. Kriosztát","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
4,korszovet_kepek.pdf,2,STEATOHEPATOPATIA,2,149,page_002_img_02.jpg,data/imported/korszovet_kepek/images/page_002_img_02.jpg,945,663,"70.8,429.0,524.5,747.0",144244.8,"Makrovezikuláris zsíros infiltráció- nagyobb méretű, egymással összeolvadó, sejteket károsító zsírcseppek. Centrolobuláris zsíros infiltráció, a v.centralis körül többnyire. Legkevesebb tápanyaggal ezek vannak ellátva, se a v.portae tápanyagai sem az a.hepatica által odaszállított O2 ből nem részesülnek eléggé-. O2 hiányosak, tápanyaghiányosak. oil red-o festés: ki kell hagyni a formalin fixálást stb, fagyasztásos technika kell. Kriosztát","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
5,korszovet_kepek.pdf,3,STEATOHEPATOPATIA,1,152,page_003_img_01.jpg,data/imported/korszovet_kepek/images/page_003_img_01.jpg,945,642,"70.8,120.8,524.5,428.9",139754.2,"További zsírfestés: szudánfestés, fekete Nikarbazin ionofór Ab okozta toxikózis nyúlban, vázizom elfajulás. Az izomban levő Ca csatornák működésének megzavarása miatti izomkárosodás.","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
6,korszovet_kepek.pdf,3,STEATOHEPATOPATIA,2,154,page_003_img_02.jpg,data/imported/korszovet_kepek/images/page_003_img_02.jpg,945,501,"70.8,485.1,524.5,725.6",109090.8,"További zsírfestés: szudánfestés, fekete Nikarbazin ionofór Ab okozta toxikózis nyúlban, vázizom elfajulás. Az izomban levő Ca csatornák működésének megzavarása miatti izomkárosodás.","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
7,korszovet_kepek.pdf,4,STEATOHEPATOPATIA,1,157,page_004_img_01.jpg,data/imported/korszovet_kepek/images/page_004_img_01.jpg,945,505,"70.8,70.9,524.5,313.2",109930.0,,"Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
8,korszovet_kepek.pdf,4,STEATOHEPATOPATIA,2,159,page_004_img_02.jpg,data/imported/korszovet_kepek/images/page_004_img_02.jpg,945,500,"70.8,324.2,524.5,564.2",108886.7,,"Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
9,korszovet_kepek.pdf,5,IDÜLT DEMARKÁCIÓ,1,162,page_005_img_01.jpg,data/imported/korszovet_kepek/images/page_005_img_01.jpg,945,504,"70.8,70.8,524.5,312.9",109793.9,"Széttöredezettség, degener.izom, homogén eosinophil festés, rögökre esik szét. Koagulációs nekrózis. Myofágok: macrofág ami az elpusztult törmeléket próbálja eltávolítani. Regeneráció nincs, csak ha a sarcolemma épen marad. IDÜLT DEMARKÁCIÓ Elhalt terület, ami túl nagy az átszövődéshez vagy felszívódáshoz: demarkációs szövettel azaz kollagénrostos ksz-el fogja körülvenni. Itt vérerekben vvs, angiofibroblaszt szövet. Erek proliferálnak+ fibroblasztok építik a kollagénrostos ksz-t. Szívós hegszövetet képez, demarkálja a nemkívánatos elhalt területet. Friss állapotában ez nagyon vérzékeny, érzékeny szövetféleség, eresztenek az erek, pl itt vér:","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
10,korszovet_kepek.pdf,5,IDÜLT DEMARKÁCIÓ,2,164,page_005_img_02.jpg,data/imported/korszovet_kepek/images/page_005_img_02.jpg,945,494,"70.8,487.0,524.5,724.0",107525.9,"Széttöredezettség, degener.izom, homogén eosinophil festés, rögökre esik szét. Koagulációs nekrózis. Myofágok: macrofág ami az elpusztult törmeléket próbálja eltávolítani. Regeneráció nincs, csak ha a sarcolemma épen marad. IDÜLT DEMARKÁCIÓ Elhalt terület, ami túl nagy az átszövődéshez vagy felszívódáshoz: demarkációs szövettel azaz kollagénrostos ksz-el fogja körülvenni. Itt vérerekben vvs, angiofibroblaszt szövet. Erek proliferálnak+ fibroblasztok építik a kollagénrostos ksz-t. Szívós hegszövetet képez, demarkálja a nemkívánatos elhalt területet. Friss állapotában ez nagyon vérzékeny, érzékeny szövetféleség, eresztenek az erek, pl itt vér:","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
11,korszovet_kepek.pdf,6,IDÜLT DEMARKÁCIÓ,1,167,page_006_img_01.jpg,data/imported/korszovet_kepek/images/page_006_img_01.jpg,945,494,"70.8,129.7,524.5,366.8",107525.9,"Fibroblasztok: megnyúlt, szivar alakú maggal rendelkező mesenchymális sejtek. Ahogy érnek, fibrocytákká alakulnak: világosból sötét elvékonyodtt fibrocyta lesz, hullámos szerkezet= érett, differenciálódva sejtszegény szövet. Azan-festés: KÉK kollagén","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
12,korszovet_kepek.pdf,6,IDÜLT DEMARKÁCIÓ,2,169,page_006_img_02.jpg,data/imported/korszovet_kepek/images/page_006_img_02.jpg,945,698,"70.8,406.1,524.5,740.9",151888.0,"Fibroblasztok: megnyúlt, szivar alakú maggal rendelkező mesenchymális sejtek. Ahogy érnek, fibrocytákká alakulnak: világosból sötét elvékonyodtt fibrocyta lesz, hullámos szerkezet= érett, differenciálódva sejtszegény szövet. Azan-festés: KÉK kollagén","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
13,korszovet_kepek.pdf,7,TUBERCULOSIS,1,172,page_007_img_01.jpg,data/imported/korszovet_kepek/images/page_007_img_01.jpg,945,673,"70.8,70.8,524.5,393.7",146467.4,"TUBERCULOSIS: tuberculum, tüdő: Mo mentes szarvasmarha tüdőgümőkórtól, nincs friss eset. tüdőlebeny keresztmetszet, szoliter és konglomeratumok.","Nezd meg a kepet, majd azonositsd a korkepet vagy jellegzetes szovettani elvaltozast."
