record_id,source_page,source_y,organ_name,inspection_text,normal_description
1,1,0.0,"Bőr, szőrzet","szín, pigmentáltság, épség, folytonossági hiányok (friss- vagy régi keletűség, testtájéki helyeződés, alak, nagyság, hosszúság, szélesség, mélység, minőség, alap) gondozottság, szennyezettség, ektoparaziták jelenléte, szőrhiányos területek stb.",
2,1,0.0,Lábvégek,"épség, szaruképletek állapota (alaki eltérések, sérülések)",
3,1,0.0,száj nyálkahártya,"szín, épség, nedvtartalom","halvány szürkésvörös, sima, fénylő, ép"
4,1,0.0,fogak,"kihasadás, kiváltódás (korhatározás), épség, kopási rendellenesség, hiány, fogkő, íny állapota",
5,1,0.0,orrnyílás,"környékének szennyezettsége, nyálkahártya állapota",
6,1,0.0,fülkagylók,"bőr épsége, szennyezettség, váladék mennyisége, ektoparaziták jelenléte",
7,1,0.0,szem,"szemrés zártsága, szemhéjak állapota, szemhéjak szétnyithatósága, kötőhártya (szín, ráncoltság, nedvesség), cornea (átlátszóság, épség), sclera (szín), pupilla (alak, tágasság), iris (szín), szemgolyó tapintata, szemgödörben való helyeződése","kötőhártya: halvány rózsavörös, finoman ráncolt, könnytől csillogó, ép cornea: domború, teljes terjedelmében átlátszó, sima, ép sclera: fehér"
8,1,0.0,végbél,"végbélrózsa állása, nyitottsága, környezete, átjárhatósága",
9,1,0.0,külső nemi szervek,"környékének szennyezettsége, nyálkahártya állapota",
10,1,0.0,Savóshártyák általában,fali és zsigeri lemez állapota,"sima, fényes, átlátszó"
11,1,0.0,Köldök (újszülöttben),"beszáradt, gyulladásos jelenségek",
12,1,0.0,Bőr alatti kötőszövet,"szín, zsírral való átszőttség, épség","zsírral közepesen átszőtt, fajra jellemző színű, ép"
13,1,0.0,Perifériás vér,"szín, alvadtság foka, fedőképesség","sötétvörös, fedőfesték jellegű, jól-, közepesen alvadt"
14,1,0.0,Nyirokcsomók,"alak, nagyság, szín, tapintat, környezetben való elmozdíthatóság, metszéslap (ML): szín, szerkezet, nedvtartalom","rendes alakú és nagyságú, szürkésfehér, tömötten rugalmas, környezetében jól elmozdítható, ML: halvány szürkésfehér, szerkezete felismerhető, közepes nedvtartalmú"
15,1,0.0,Vázizom,"a test izmoltsága, az izomzat szimmetriája; ML: szín, szerkezet, nedvtartalom, szakíthatóság","barnavörös színű, szerkezete felismerhető, közepes nedvtartalmú, középkönnyen szakítható"
16,2,0.0,Has,"hasfal állapota és tapintata, megnyitás után: hasi szervek helyeződése, hasüregi szabad tartalom (mennyiség, minőség), hashártya","a hasfal ép, közepesen feszes, a hasüregi szervek helyeződése normális, kóros szabad tartalom nincs, a hashártya fali- és zsigeri lemeze is sima, fényes, átlátszó"
17,2,0.0,Lép,"alak, nagyság, szín, burok, tapintat, ML: szín, szerkezet, nedvtartalom, pulpa kikaparhatósága","alak és nagyság normális, színe, petyhüdt tapintatú, burka ráncolt, ML: színe, szerkezete felismerhető, közepes nedvtartalmú, pulpa középkönnyen kikaparható su: világos vörös, hosszant megnyúlt nyelv alakú, haránt metszete  alakú"
18,2,0.0,Epevezető,átjárhatóság,átjárható
19,2,0.0,Gyomor,"alak, teltség, tartalom (mennyisége, minősége, színe, szaga, konzisztenciája, idegen testek jelenléte), nyálkahártya (külön a fundus, pylorus és cardia tájékon; színe, ráncoltsága, épsége, ráncok elsimíthatósága, vastagsága), gyomorkapui nyirokcsomó","pars oesophagea (su): négyszögletű, fehér, finoman ráncolt"
20,2,0.0,Bélcsatorna,"teltség, tartalom (mennyisége, minősége, színe, konzisztenciája, idegen testek jelenléte) nyálkahártya (színe, ráncoltsága, épsége, Peyer-plakkok), bélfodri nyirokcsomók",
21,2,0.0,Máj,"alak, nagyság, szín, burok, tapintat, ML: szín, szerkezet, nedvtartalom, szakíthatóság, májkapui nyirokcsomó","normális alakú és nagyságú, barnavörös színű, burka sima, tapintata közepesen tömött, ML: barnavörös, szerkezete felismerhető, közepes nedvtartalmú, középkönnyen szakítható su: világos barnavörös"
22,2,0.0,Epehólyag,"teltség, tartalom (epe mennyisége, színe, konzisztenciája), falvastagság",fala újságpapír vastagságú
23,2,0.0,Hasnyálmirigy,"alak, nagyság, szín, lebenykézettség, tapintat, ML: szín, nedvtartalom","su: villa alakú, szürkéssárga, zsírral bőségesen átszőtt, laza szerkezetű, mirigyes tapintatú"
